"","lo_x","lo_y","lo_z","x","y","z","Moll_x","Moll_y"
"211",377817.494094698,291000.269007364,213963.020838188,0.275036876178197,-0.825178590718447,-0.493391335718471,1.03150402503044,-0.56329036370045
"215",380903.721678885,291090.14455224,214629.834610708,0.16846236793633,-0.827527161666541,-0.535555064669735,1.11075243978451,-0.614807871388612
"214",384669.991121034,291110.533294783,216379.025731734,0.0421502857440754,-0.809798042359664,-0.585192689634918,1.20064584872926,-0.676788141866653
"218",389693.222294714,292074.337543641,217550.763235588,-0.0952450447845756,-0.764657879306505,-0.637359168019464,1.29770015049526,-0.743806554852652
"225",397490.364040076,294565.084243306,219427.690684254,-0.209410549498981,-0.712333749610399,-0.669871518221609,1.38907730987339,-0.786752642487219
"227",337726.378207338,276710.307746311,208549.535212717,0.860883589165663,-0.486600463720298,-0.148658785856865,0.459997607031101,-0.165496911215331
"226",341458.660692264,278956.264574348,208287.020353686,0.821452492709736,-0.540776313236702,-0.181043589400676,0.518801528704078,-0.201775552938288
"224",346016.78584652,281300.968719986,207182.044466042,0.775115195596406,-0.594442645113288,-0.214089642968227,0.580550959772769,-0.238935456052619
"222",350045.170172625,284010.759088269,207973.61382073,0.723133745383173,-0.644587230961674,-0.248163026998921,0.642723510108345,-0.277429634936093
"220",355076.978653362,286125.761044585,210216.656508042,0.6717030678126,-0.68371038532632,-0.2852281502378,0.696588579113272,-0.319549133032746
"219",358860.55015662,287587.854151695,211735.422168293,0.606501041071829,-0.72796384824211,-0.31972663766306,0.762985671802007,-0.359021459147762
"217",364231.88643432,288510.04139163,212313.797224307,0.534038157269152,-0.765635931333459,-0.358615207752983,0.829812655241645,-0.403880393874581
"213",369516.39348925,290013.33811707,213052.909612025,0.456127541877037,-0.793459030504,-0.402952146604114,0.894143798324454,-0.45557420008093
"230",329999.364807876,272792.966553108,206302.569335461,0.923187930489139,-0.374271332188013,-0.0874357758665755,0.345948665124903,-0.0971932951534302
"231",324670.858424976,269819.438852733,206199.309914305,0.950972364887526,-0.304166104067561,-0.0559869838139967,0.278436288967627,-0.0622059688727356
"232",320580.107665263,266873.487672758,205845.716649568,0.970679266632468,-0.238886814846176,-0.0267366980478546,0.217204979993524,-0.0296991880330066
