Flywire ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin,Mirror Twin Ints,Notes,
720575940632042065,vPN,visual_projection,Lo,Right,glutamate,0.63,,CL284,CL284,None,Indirect,0,0,0,0,,16,,,,
720575940631718930,LVIN,central,,Left,acetylcholine,0.89,,"PLP120, PLP145","a-PLP120, PLP145",Direct,None,75,6,0,0,,,720575940630610488,720575940630610488,definitely the same ,
720575940640550563,vPN,visual_projection,Lo,Right,Unknown, ,,hb1159944202,Lo-new,Indirect,None,0,0,0,0,,9,0,0,new indirect vPN added 8/9/23,
720575940619918203,vPN,visual_projection,Lo,Left,acetylcholine,0.82,,hb1222778569,Lo-new,None,Indirect,0,0,0,0,,0,,,,
720575940630124050,LVIN,central,,Left,acetylcholine,0.92,,"PLP120, PLP145","a-PLP120, PLP145",Direct,None,50,5,0,0,,,720575940616355028,720575940616355028,,
720575940642533083,vPN,visual_projection,Lo,Right,acetylcholine,0.89,,hb543702551,Lo-new,None,Indirect,0,0,0,0,,10,,,,
720575940615827980,vPN,visual_projection,Lo,Right,acetylcholine,0.95,,hb575063620,Lo-new,None,Indirect,0,0,0,0,,7,,,,
720575940628912636,vPN,visual_projection,Me,Right,acetylcholine,0.92,,hb759632919,Me-new,None,Indirect,0,0,0,0,,13,,,,
720575940604030176,vPN,visual_projection,Lo,Right,acetylcholine,0.79,,IB019,IB019,None,Indirect,0,0,0,0,,9,,,,
720575940611826073,vPN,visual_projection,Lo,Right,acetylcholine,0.82,,LC15,LC15,None,Indirect,0,0,0,0,,5,,,,
720575940613488815,vPN,visual_projection,Lo,Right,acetylcholine,0.78,,LC15,LC15,None,Indirect,0,0,0,0,,7,,,,
720575940651619318,vPN,visual_projection,Lo,Left,acetylcholine,0.76,,LC24,LC24,None,Indirect,0,0,0,0,,14,,,,
720575940608601412,vPN,visual_projection,Lo,Right,acetylcholine,0.85,,LC24,LC24,None,Indirect,0,0,0,0,,8,,,,
720575940611138002,vPN,visual_projection,Lo,Right,acetylcholine,0.81,,LC24,LC24,None,Indirect,0,0,0,0,,66,,,,
720575940613411954,vPN,visual_projection,Lo,Right,acetylcholine,0.83,,LC24,LC24,None,Indirect,0,0,0,0,,72,,,,
720575940616739677,vPN,visual_projection,Lo,Right,acetylcholine,0.86,,LC24,LC24,None,Indirect,0,0,0,0,,6,,,,
720575940617589716,vPN,visual_projection,Lo,Right,acetylcholine,0.76,,LC24,LC24,None,Indirect,0,0,0,0,,13,,,,
720575940618314786,vPN,visual_projection,Lo,Right,acetylcholine,0.81,,LC24,LC24,None,Indirect,0,0,0,0,,7,,,,
720575940631670725,vPN,visual_projection,Lo,Right,acetylcholine,0.76,,LC24,LC24,None,Indirect,0,0,0,0,,14,,,,
720575940619488390,vPN,visual_projection,Lo,Right,acetylcholine,0.79,,LC24,LC24,None,Indirect,0,0,0,0,,10,,,,
720575940621111465,vPN,visual_projection,Lo,Right,acetylcholine,0.85,,LC24,LC24,None,Indirect,0,0,0,0,,28,,,,
720575940628147906,vPN,visual_projection,Lo,Right,acetylcholine,0.83,,LC24,LC24,None,Indirect,0,0,0,0,,17,,,,
720575940636885871,vPN,visual_projection,Lo,Right,acetylcholine,0.79,,LC24,LC24,None,Indirect,0,0,0,0,,43,,,,
720575940638730303,vPN,visual_projection,Lo,Right,acetylcholine,0.72,,LC24,LC24,None,Indirect,0,0,0,0,,8,,,,
720575940639850037,vPN,visual_projection,Lo,Right,acetylcholine,0.75,,LC24,LC24,None,Indirect,0,0,0,0,,30,,,,
720575940640747995,vPN,visual_projection,Lo,Right,acetylcholine,0.85,,LC24,LC24,None,Indirect,0,0,0,0,,10,,,,
720575940612422037,vPN,visual_projection,Lo,Right,acetylcholine,0.65,,LC26,LC26,None,Indirect,0,0,0,0,,11,,,,
720575940618110621,vPN,visual_projection,Lo,Right,acetylcholine,0.64,,LC26,LC26,None,Indirect,0,0,0,0,,0,,,,
720575940621887197,vPN,visual_projection,Lo,Right,acetylcholine,0.63,,LC26,LC26,None,Indirect,0,0,0,0,,0,,,,
720575940623038389,vPN,visual_projection,Lo,Right,acetylcholine,0.77,,LC26,LC26,None,Indirect,0,0,0,0,,16,,,,
720575940623725036,vPN,visual_projection,Lo,Right,acetylcholine,0.68,,LC26,LC26,None,Indirect,0,0,0,0,,17,,,,
720575940629795331,vPN,visual_projection,Lo,Right,acetylcholine,0.61,,LC26,LC26,None,Indirect,0,0,0,0,,12,,,,
720575940636189295,vPN,visual_projection,Lo,Right,acetylcholine,0.76,,LC26,LC26,None,Indirect,0,0,0,0,,20,,,,
720575940622810119,vPN,visual_projection,Lo,Right,acetylcholine,0.86,,LC36,LC36,None,Indirect,0,0,0,0,,11,,,,
720575940622404376,vPN,visual_projection,Lo,Left,glutamate,0.75,,LC37,LC37,None,Indirect,0,0,0,0,,25,,,,
720575940613456242,vPN,visual_projection,Lo,Right,glutamate,0.68,,LC37,LC37,None,Indirect,0,0,0,0,,11,,,,
720575940618270498,vPN,visual_projection,Lo,Right,glutamate,0.82,,LC37,LC37,None,Indirect,0,0,0,0,,19,,,,
720575940653299617,vPN,visual_projection,Lo,Right,glutamate,0.85,,LC37,LC37,None,Indirect,0,0,0,0,,253,,,,
720575940611112818,vPN,visual_projection,Lo,Right,glutamate,0.66,,LC37,LC37,None,Indirect,0,0,0,0,,71,,,,
720575940607052418,vPN,visual_projection,Lo,Right,acetylcholine,0.86,,LC40,LC40,None,Indirect,0,0,0,0,,0,,,,
720575940630312954,vPN,visual_projection,Lo,Right,acetylcholine,0.85,,LC40,LC40,None,Indirect,0,0,0,0,,0,,,,
720575940613004207,vPN,visual_projection,Lo,Right,acetylcholine,0.88,,LC40,LC40,None,Indirect,0,0,0,0,,62,,,,
720575940616688930,vPN,visual_projection,Lo,Right,acetylcholine,0.84,,LC40,LC40,None,Indirect,0,0,0,0,,8,,,,
720575940616927060,vPN,visual_projection,Lo,Right,acetylcholine,0.85,,LC40,LC40,None,Indirect,0,0,0,0,,0,,,,
720575940623325661,vPN,visual_projection,Lo,Right,acetylcholine,0.88,,LC40,LC40,None,Indirect,0,0,0,0,,10,,,,
720575940627777067,vPN,visual_projection,Lo,Right,acetylcholine,0.82,,LC40,LC40,None,Indirect,0,0,0,0,,49,,,,
720575940628584954,vPN,visual_projection,Lo,Right,acetylcholine,0.91,,LC40,LC40,None,Indirect,0,0,0,0,,115,,,,
720575940628913920,vPN,visual_projection,Lo,Right,acetylcholine,0.87,,LC40,LC40,None,Indirect,0,0,0,0,,0,,,,
720575940615290279,vPN,visual_projection,Lo,Right,acetylcholine,0.82,,LC40,LC40,None,Indirect,0,0,0,0,,8,,,,
