v630 Neuron ID,Neuron ID 05Oct2023,VPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Pathway to MB Left,Pathway to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Mirror Twin 
720575940612277490,720575940612277490,LVIN,central,NA - LVIN,Left,glutamate,0.61,,"SMP144, SMP150",None,Direct,0,0,6,1,720575940621373052
720575940623184167,720575940623184167,LVIN,central,NA - LVIN,Right,Unknown,NA,,PLP.318,None,Direct,0,0,5,1,720575940619677342
720575940620689136,720575940620689136,VPN,visual_projection,Lo,Right,acetylcholine,0.86,,SCL.PLP.12,None,Indirect,0,0,0,0,0
720575940620198571,720575940620198571,LVIN,central,NA - LVIN,Right,acetylcholine,0.94,,PLP.SLP.30,None,Direct,0,0,5,1,720575940632528045
720575940636261488,720575940636261488,LVIN,central,NA - LVIN,Right,glutamate,0.61,,PLP069,None,Direct,0,0,5,1,720575940636221406
720575940628951166,720575940613151706,LVIN,central,NA - LVIN,Right,glutamate,0.76,,"PLP185, PLP186",None,Direct,0,0,5,1,720575940620745069
720575940635455679,720575940635455679,VPN,visual_projection,Lo,Right,acetylcholine,0.92,,SLP219,None,Indirect,0,0,0,0,0
720575940630741059,720575940619321157,VPN,visual_projection,Lo,Right,acetylcholine,0.87,,SMP.1000,None,Indirect,0,0,0,0,0
720575940611428977,720575940611428977,LVIN,central,NA - LVIN,Right,acetylcholine,0.93,,SIP064,None,Direct,0,0,5,1,720575940627572484
720575940624085991,720575940624085991,VPN,visual_projection,Lo,Left,acetylcholine,0.88,,SMP241,None,Indirect,0,0,0,0,0
720575940634603930,720575940634603930,VPN,visual_projection,Lo,Right,acetylcholine,0.88,,SMP241,None,Indirect,0,0,0,0,0
720575940625334970,720575940625334970,LVIN,central,NA - LVIN,Right,acetylcholine,0.84,,SLP.ICL.26,None,Direct,0,0,5,1,0
720575940625458064,720575940625458064,VPN,visual_projection,Lo,Right,acetylcholine,0.92,,VES044,None,Indirect,0,0,0,0,0
720575940635325535,720575940634061779,VPN,visual_projection,Lo,Left,acetylcholine,0.92,,VES044,None,Indirect,0,0,0,0,0
720575940658655873,720575940658655873,VPN,visual_projection,Lo,Right,acetylcholine,0.9,,VES044,None,Indirect,0,0,0,0,0
720575940636217012,720575940636217012,VPN,visual_projection,Lo,Right,acetylcholine,0.88,,VES080,None,Indirect,0,0,0,0,0
720575940607401138,720575940607401138,VPN,visual_projection,LoP,Right,acetylcholine,0.87,,WED068,None,Indirect,0,0,0,0,0
