,Presynaptic neuron type,Presynaptic neuron,Postsynaptic neuron,Predicted synapse type,Variance in distances from centroid
267,VPN,720575940618529885,720575940619475376,claw,175.7364991654793
268,VPN,720575940618529885,720575940619696660,en_passant,1862.5970018465443
269,VPN,720575940618529885,720575940622022583,en_passant,2997.405987300579
270,VPN,720575940618529885,720575940622776013,claw,1269.4974728222744
271,VPN,720575940618529885,720575940623207108,en_passant,4540.5570942171
272,VPN,720575940618529885,720575940623767991,claw,121.41500899643462
273,VPN,720575940618529885,720575940623906633,claw,1025.1133920107682
274,VPN,720575940618529885,720575940625981028,claw,71.35204935266042
275,VPN,720575940618529885,720575940626653273,claw,263.6501452832931
276,VPN,720575940618529885,720575940627295260,en_passant,2229.6235064968487
277,VPN,720575940618529885,720575940628145667,claw,267.60875543993075
278,VPN,720575940618529885,720575940629676363,en_passant,4392.009149890383
279,VPN,720575940618529885,720575940630166646,claw,454.00212309824735
280,VPN,720575940618529885,720575940635370096,en_passant,3487.726097907915
281,VPN,720575940618529885,720575940640158939,en_passant,1557.2306551439049
282,VPN,720575940618529885,720575940643466094,claw,219.50648542187625
283,VPN,720575940618529885,720575940646289955,en_passant,3311.729832503961
284,VPN,720575940617101580,720575940616284955,en_passant,2778.829802706556
285,VPN,720575940620455408,720575940613863903,claw,314.51858852191606
286,VPN,720575940620455408,720575940616295069,claw,183.26554724100825
287,VPN,720575940620455408,720575940617503974,en_passant,1946.7305914042443
288,VPN,720575940620455408,720575940619511206,claw,159.41922906359423
289,VPN,720575940620455408,720575940636023438,claw,359.3895065881112
290,VPN,720575940620455408,720575940645209966,claw,241.77095063797108
291,VPN,720575940626849866,720575940616305181,claw,173.49598149574183
292,VPN,720575940624587447,720575940625003907,claw,218.7619195345953
293,VPN,720575940630585704,720575940617150878,claw,823.4706513295234
294,VPN,720575940630585704,720575940618163013,claw,378.55731421272014
295,VPN,720575940630585704,720575940614812653,claw,916.6561991232631
296,VPN,720575940630585704,720575940632271780,en_passant,7070.093131202559
297,VPN,720575940630585704,720575940635031403,claw,224.80220461768224
298,VPN,720575940630585704,720575940635370096,claw,947.1245546965507
299,VPN,720575940630585704,720575940643823816,claw,682.5297764567772
300,VPN,720575940630585704,720575940644677411,en_passant,1515.0832950372553
301,VPN,720575940622891242,720575940616702274,en_passant,5178.887351541786
302,VPN,720575940622891242,720575940611336726,claw,1110.9651154670394
303,VPN,720575940622891242,720575940616442369,en_passant,1729.6164395330618
304,VPN,720575940622891242,720575940617266833,claw,198.06564274884326
305,VPN,720575940622891242,720575940620236270,claw,558.5583284528852
306,VPN,720575940622891242,720575940621786602,claw,489.63021222225285
307,VPN,720575940622891242,720575940625003907,claw,1201.1069717910914
308,VPN,720575940622891242,720575940640158939,en_passant,2717.5101521415136
309,VPN,720575940622891242,720575940645209966,claw,740.9559308068303
310,VPN,720575940633183628,720575940619949040,claw,101.3204885672937
311,VPN,720575940635169888,720575940615543995,claw,268.2588087675391
312,VPN,720575940617883003,720575940611930265,claw,391.3087283527111
313,VPN,720575940617883003,720575940624879388,en_passant,2012.31906912368
314,VPN,720575940617883003,720575940634906286,en_passant,3295.1852108007665
